event_id,bin_start,bin_end,bin_mid,reviews,sentiment,rating,negative_share,one_star_share,sentiment_deviation
ces2025,-28,-22,-25.0,33,-0.022893939393939387,2.606060606060606,0.48484848484848486,0.45454545454545453,-0.207917468805704
ces2025,-21,-15,-18.0,39,0.18764358974358972,2.5128205128205128,0.28205128205128205,0.46153846153846156,0.0026200603318251026
ces2025,-14,-8,-11.0,39,0.23406410256410254,2.7948717948717947,0.23076923076923078,0.46153846153846156,0.049040573152337924
ces2025,-7,-1,-4.0,46,0.143445652173913,2.5217391304347827,0.2391304347826087,0.5434782608695652,-0.04157787723785161
ces2025,1,7,4.0,37,0.09165405405405404,2.675675675675676,0.35135135135135137,0.40540540540540543,-0.09336947535771058
ces2025,8,14,11.0,28,0.16627857142857141,2.4642857142857144,0.2857142857142857,0.5357142857142857,-0.0187449579831932
ces2026,-28,-22,-25.0,36,0.22196944444444444,2.6666666666666665,0.25,0.4444444444444444,0.14341277777777778
ces2026,-21,-15,-18.0,38,0.20821842105263152,2.1842105263157894,0.18421052631578946,0.6052631578947368,0.12966175438596486
ces2026,-14,-8,-11.0,26,-0.0601076923076923,2.0,0.5384615384615384,0.6538461538461539,-0.13866435897435897
ces2026,-7,-1,-4.0,34,0.1845941176470588,2.7058823529411766,0.23529411764705882,0.4117647058823529,0.10603745098039213
ces2026,1,7,4.0,23,0.2110260869565217,2.608695652173913,0.30434782608695654,0.43478260869565216,0.13246942028985503
ces2026,8,14,11.0,19,0.08427368421052632,1.9473684210526316,0.42105263157894735,0.631578947368421,0.0057170175438596565
daypasses,-28,-22,-25.0,42,0.13467857142857145,2.0952380952380953,0.23809523809523808,0.5714285714285714,0.039045918367346985
daypasses,-21,-15,-18.0,56,0.09102321428571428,1.6428571428571428,0.24999999999999997,0.75,-0.004609438775510191
daypasses,-14,-8,-11.0,53,0.11754150943396226,2.2641509433962264,0.2830188679245283,0.5094339622641509,0.02190885637273779
daypasses,-7,-1,-4.0,45,0.06982888888888886,2.1333333333333333,0.28888888888888886,0.5333333333333333,-0.02580376417233561
daypasses,1,7,4.0,38,0.02915000000000001,2.0526315789473686,0.4473684210526316,0.5789473684210527,-0.06648265306122446
daypasses,8,14,11.0,33,0.1534424242424242,2.6666666666666665,0.24242424242424243,0.48484848484848486,0.057809771181199746
gamescom2026,-28,-22,-25.0,39,0.1789384615384615,2.8205128205128207,0.28205128205128205,0.41025641025641024,0.02936219035202081
gamescom2026,-21,-15,-18.0,41,0.13489999999999996,2.6341463414634148,0.3170731707317073,0.4878048780487805,-0.014676271186440715
gamescom2026,-14,-8,-11.0,48,0.10397916666666664,2.625,0.3541666666666667,0.5208333333333334,-0.04559710451977404
gamescom2026,-7,-1,-4.0,70,0.1808428571428571,3.1857142857142855,0.2857142857142857,0.37142857142857144,0.03126658595641643
gamescom2026,1,7,4.0,41,0.2832463414634146,2.975609756097561,0.1951219512195122,0.3902439024390244,0.13367007027697392
gamescom2026,8,14,11.0,41,0.13720487804878045,3.2195121951219514,0.3170731707317073,0.36585365853658536,-0.012371393137660225
gfn3080,-28,-22,-25.0,25,0.31504,2.8,0.12,0.52,0.122496
gfn3080,-21,-15,-18.0,32,0.33288124999999996,3.40625,0.09374999999999999,0.3125,0.14033724999999997
gfn3080,-14,-8,-11.0,25,0.15913599999999997,3.52,0.2,0.28,-0.03340800000000002
gfn3080,-7,-1,-4.0,25,0.22595200000000001,3.24,0.2,0.24,0.03340800000000002
gfn3080,1,7,4.0,21,0.30652380952380953,3.380952380952381,0.19047619047619047,0.3333333333333333,0.11397980952380954
gfn3080,8,14,11.0,19,0.3489473684210527,2.8947368421052633,0.15789473684210525,0.3684210526315789,0.15640336842105268
gfn5080,-28,-22,-25.0,14,0.16939285714285712,2.2857142857142856,0.2857142857142857,0.42857142857142855,-0.03155114285714289
