event_id,placebo_date,pre_reviews,pre_sentiment,pre_rating,pre_negative_share,pre_one_star_share,post_reviews,post_sentiment,post_rating,post_negative_share,post_one_star_share,delta_sentiment,delta_rating,delta_negative_share,delta_one_star_share,volume_ratio,full_window,enough_reviews
rtx30,2020-06-09,54,0.39982407407407405,3.4814814814814814,0.16666666666666666,0.2222222222222222,37,0.3236162162162162,3.1621621621621623,0.16216216216216217,0.35135135135135137,-0.07620785785785783,-0.3193193193193191,-0.004504504504504486,0.12912912912912916,0.6851851851851852,True,True
rtx30,2020-06-16,44,0.3324863636363636,2.977272727272727,0.1590909090909091,0.38636363636363635,38,0.26018684210526316,3.0,0.2631578947368421,0.3684210526315789,-0.07229952153110042,0.02272727272727293,0.104066985645933,-0.017942583732057427,0.8636363636363636,True,True
rtx30,2020-06-23,42,0.34838095238095235,3.2857142857142856,0.14285714285714285,0.3333333333333333,46,0.16236956521739127,3.0652173913043477,0.30434782608695654,0.32608695652173914,-0.18601138716356108,-0.22049689440993792,0.1614906832298137,-0.00724637681159418,1.0952380952380953,True,True
rtx30,2020-06-30,37,0.26282972972972973,3.0,0.24324324324324326,0.3783783783783784,55,0.1811090909090909,3.3454545454545452,0.2545454545454545,0.2545454545454545,-0.08172063882063885,0.34545454545454524,0.011302211302211262,-0.12383292383292388,1.4864864864864864,True,True
rtx30,2020-07-07,44,0.1636272727272727,3.090909090909091,0.3181818181818182,0.29545454545454547,41,0.2299146341463414,3.5609756097560976,0.24390243902439024,0.24390243902439024,0.06628736141906869,0.4700665188470068,-0.07427937915742794,-0.05155210643015523,0.9318181818181818,True,True
rtx30,2020-07-14,55,0.20211454545454544,3.381818181818182,0.23636363636363636,0.23636363636363636,32,0.36130312499999995,3.8125,0.1875,0.21875,0.1591885795454545,0.43068181818181817,-0.04886363636363636,-0.01761363636363636,0.5818181818181818,True,True
rtx30,2020-07-21,44,0.23583409090909083,3.477272727272727,0.22727272727272727,0.2727272727272727,55,0.37851818181818175,3.8545454545454545,0.14545454545454545,0.18181818181818182,0.14268409090909093,0.3772727272727274,-0.08181818181818182,-0.09090909090909088,1.25,True,True
rtx30,2020-07-28,32,0.311425,3.5625,0.25,0.28125,79,0.2953126582278481,3.4556962025316458,0.1518987341772152,0.25316455696202533,-0.016112341772151928,-0.10680379746835422,-0.0981012658227848,-0.028085443037974667,2.46875,True,True
rtx30,2020-10-06,71,0.4293295774647888,3.859154929577465,0.09859154929577464,0.15492957746478872,47,0.17875319148936167,3.4680851063829787,0.3191489361702128,0.2765957446808511,-0.2505763859754271,-0.39106982319448624,0.22055738687443815,0.12166616721606235,0.6619718309859155,True,True
rtx30,2020-10-13,56,0.31247678571428567,3.8035714285714284,0.23214285714285715,0.17857142857142858,52,0.20432692307692307,3.4615384615384617,0.21153846153846154,0.2692307692307692,-0.10814986263736259,-0.3420329670329667,-0.020604395604395614,0.09065934065934064,0.9285714285714286,True,True
rtx30,2020-10-20,45,0.2076955555555555,3.533333333333333,0.28888888888888886,0.26666666666666666,68,0.30324558823529413,3.514705882352941,0.16176470588235295,0.2647058823529412,0.09555003267973863,-0.01862745098039209,-0.1271241830065359,-0.0019607843137254832,1.511111111111111,True,True
rtx30,2020-10-27,50,0.185858,3.44,0.22,0.28,80,0.2841625,3.4125,0.2,0.3,0.09830449999999999,-0.027499999999999858,-0.01999999999999999,0.019999999999999962,1.6,True,True
rtx30,2020-11-03,69,0.27190579710144924,3.608695652173913,0.18840579710144928,0.2463768115942029,67,0.32260149253731346,3.6417910447761193,0.1791044776119403,0.26865671641791045,0.05069569543586422,0.033095392602206175,-0.009301319489508991,0.022279904823707536,0.9710144927536232,True,True
rtx30,2020-11-10,82,0.2963731707317073,3.4390243902439024,0.18292682926829268,0.2926829268292683,59,0.34931016949152544,3.593220338983051,0.15254237288135594,0.2542372881355932,0.05293699875981811,0.15419594873914866,-0.030384456386936737,-0.038445638693675066,0.7195121951219512,True,True
rtx30,2020-11-17,66,0.3002015151515151,3.4545454545454546,0.18181818181818182,0.30303030303030304,56,0.23323392857142852,3.25,0.19642857142857142,0.32142857142857145,-0.06696758658008659,-0.20454545454545459,0.014610389610389601,0.018398268398268414,0.8484848484848485,True,True
rtx30,2020-11-24,62,0.357724193548387,3.6451612903225805,0.16129032258064516,0.24193548387096775,61,0.2522868852459016,3.19672131147541,0.19672131147540983,0.29508196721311475,-0.10543730830248543,-0.44843997884717046,0.035430988894764676,0.053146483342147,0.9838709677419355,True,True
rtx30,2020-12-01,57,0.26606842105263157,3.43859649122807,0.19298245614035087,0.2807017543859649,79,0.3207746835443037,3.3544303797468356,0.21518987341772153,0.26582278481012656,0.05470626249167215,-0.08416611148123465,0.02220741727737066,-0.014878969575838341,1.3859649122807018,True,True
rtx30,2020-12-08,56,0.2337428571428571,3.1785714285714284,0.19642857142857142,0.32142857142857145,87,0.22533448275862064,3.2298850574712645,0.25287356321839083,0.3218390804597701,-0.008408374384236472,0.05131362889983615,0.056444991789819404,0.0004105090311986581,1.5535714285714286,True,True
rtx30,2020-12-15,74,0.31365675675675675,3.3378378378378377,0.18918918918918917,0.2702702702702703,81,0.1563407407407407,3.0,0.2345679012345679,0.345679012345679,-0.15731601601601605,-0.3378378378378377,0.045378712045378716,0.07540874207540871,1.0945945945945945,True,True
rtx30,2020-12-22,89,0.251152808988764,3.2247191011235956,0.23595505617977527,0.30337078651685395,68,0.2932926470588236,3.5,0.16176470588235295,0.23529411764705882,0.042139838070059554,0.2752808988764044,-0.07419035029742233,-0.06807666886979513,0.7640449438202247,True,True
